time,stamp_sonde,stamp_ros,latitude,longitude,temperature,conductivity
1467928779508070000,1467942876000000000,1467928779482290000,34.109026,-117.7126735,27.1790008545,686.91998291
1467928785510040000,1467942878000000000,1467928785483780000,34.1090266667,-117.712676167,27.1590003967,686.820007324
1467928791511780000,1467942882000000000,1467928791480840000,34.1090283333,-117.712677833,27.1189994812,686.640014648
1467928797513410000,1467942884000000000,1467928797481660000,34.1090291667,-117.712679833,27.1000003815,686.570007324
1467928803514360000,1467942888000000000,1467928803481710000,34.1090301667,-117.712682,27.0690002441,686.409973145
1467928809515640000,1467942890000000000,1467928809482910000,34.1090315,-117.712684167,27.0580005646,686.349975586
1467928815517030000,1467942894000000000,1467928815482600000,34.1090326667,-117.7126865,27.0489997864,686.260009766
1467928821484920000,1467942896000000000,1467928821481620000,34.1090331667,-117.712688167,27.0480003357,686.229980469
1467928827486250000,1467942900000000000,1467928827481600000,34.109034,-117.712690833,27.0429992676,686.219970703
1467928833487460000,1467942902000000000,1467928833485570000,34.1090346667,-117.712693,27.0380001068,686.179992676
1467928839488830000,1467942906000000000,1467928839485530000,34.1090351667,-117.712694167,27.0310001373,686.119995117
1467928845489970000,1467942908000000000,1467928845484590000,34.1090366667,-117.712694,27.031999588,686.090026855
1467928851491220000,1467942912000000000,1467928851485100000,34.1090383333,-117.712694333,27.0489997864,686.049987793
1467928857492500000,1467942914000000000,1467928857486230000,34.1090395,-117.712695833,27.063999176,686.070007324
1467928863493890000,1467942918000000000,1467928863486790000,34.1090395,-117.712697333,27.1060009003,686.190002441
1467928869495210000,1467942920000000000,1467928869487440000,34.1090395,-117.7126985,27.1280002594,686.280029297
1467928875496630000,1467942924000000000,1467928875487110000,34.1090408333,-117.712698167,27.1700000763,686.400024414
1467928881499910000,1467942926000000000,1467928881486500000,34.1090413333,-117.7126975,27.1909999847,686.450012207
1467928887501340000,1467942930000000000,1467928887488380000,34.1090421667,-117.7126975,27.2299995422,686.549987793
1467928893503400000,1467942932000000000,1467928893487650000,34.1090431667,-117.712698333,27.2460002899,686.599975586
1467928899504590000,1467942936000000000,1467928899488030000,34.1090446667,-117.7126975,27.2770004272,686.700012207
1467928905505950000,1467942938000000000,1467928905488860000,34.109046,-117.712698667,27.2910003662,686.75
1467928911507680000,1467942942000000000,1467928911489130000,34.1090471667,-117.712699667,27.3129997253,686.840026855
1467928917508840000,1467942944000000000,1467928917487040000,34.109048,-117.7127005,27.3159999847,686.880004883
1467928923510110000,1467942948000000000,1467928923489420000,34.1090496667,-117.712702,27.3150005341,686.929992676
1467928929511300000,1467942950000000000,1467928929488860000,34.1090506667,-117.712701833,27.3120002747,686.950012207
1467928935512490000,1467942954000000000,1467928935490260000,34.1090528333,-117.712701333,27.3010005951,686.909973145
1467928941513820000,1467942956000000000,1467928941488830000,34.1090541667,-117.712702333,27.2919998169,686.859985352
1467928947515100000,1467942960000000000,1467928947489270000,34.1090543333,-117.712703167,27.267999649,686.780029297
1467928953489660000,1467942962000000000,1467928953485870000,34.109056,-117.7127035,27.2530002594,686.719970703
1467928959490770000,1467942966000000000,1467928959485750000,34.1090573333,-117.712704,27.2229995728,686.559997559
1467928965491960000,1467942968000000000,1467928965487870000,34.1090586667,-117.712704,27.2119998932,686.530029297
1467928971493260000,1467942972000000000,1467928971488450000,34.1090603333,-117.7127045,27.2110004425,686.489990234
1467928977494490000,1467942974000000000,1467928977487960000,34.1090616667,-117.712704833,27.2189998627,686.469970703
1467928983495930000,1467942978000000000,1467928983488030000,34.1090631667,-117.712704667,27.2390003204,686.460021973
1467928989497070000,1467942980000000000,1467928989486730000,34.1090645,-117.712705,27.2490005493,686.469970703
1467928995498980000,1467942984000000000,1467928995488880000,34.1090655,-117.7127055,27.2730007172,686.5
1467929001500310000,1467942986000000000,1467929001485430000,34.1090656667,-117.712705667,27.2870006561,686.520019531
1467929007501570000,1467942990000000000,1467929007490020000,34.1090676667,-117.712706167,27.3090000153,686.609985352
1467929013503000000,1467942992000000000,1467929013487130000,34.1090693333,-117.712706833,27.3190002441,686.650024414
1467929019504280000,1467942996000000000,1467929019486790000,34.1090695,-117.712706833,27.3309993744,686.729980469
1467929025505440000,1467942998000000000,1467929025488600000,34.1090698333,-117.712706667,27.3309993744,686.760009766
1467929031506650000,1467943002000000000,1467929031487960000,34.1090711667,-117.7127075,27.3269996643,686.859985352
1467929037507860000,1467943004000000000,1467929037488160000,34.1090723333,-117.712708167,27.3229999542,686.91998291
1467929043509240000,1467943008000000000,1467929043486820000,34.1090725,-117.712709667,27.3080005646,687
1467929049511470000,1467943010000000000,1467929049487910000,34.1090726667,-117.7127105,27.2980003357,687.020019531
1467929055512630000,1467943014000000000,1467929055487520000,34.1090726667,-117.712711333,27.2749996185,687
1467929061513840000,1467943016000000000,1467929061488680000,34.109074,-117.7127115,27.2619991302,686.969970703
1467929067515460000,1467943020000000000,1467929067488170000,34.1090763333,-117.712712167,27.2369995117,686.869995117
1467929073516610000,1467943022000000000,1467929073487420000,34.1090778333,-117.7127125,27.2259998322,686.789978027
1467929079518080000,1467943026000000000,1467929079489410000,34.1090795,-117.712712,27.2059993744,686.640014648
1467929085519510000,1467943028000000000,1467929085488020000,34.109081,-117.7127125,27.1959991455,686.58001709
1467929091520980000,1467943032000000000,1467929091488460000,34.1090828333,-117.712714,27.1779994965,686.489990234
1467929097522070000,1467943034000000000,1467929097491700000,34.1090851667,-117.712714,27.1700000763,686.520019531
1467929103489970000,1467943038000000000,1467929103486430000,34.1090865,-117.712713833,27.1539993286,686.619995117
1467929109491370000,1467943040000000000,1467929109488130000,34.1090883333,-117.712714333,27.1459999084,686.690002441
